Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rajon Rondo,41:16,11,19,.579,0,1,.000,9,12,.750,1,4,5,13,5,0,5,2,31,+3
Ray Allen,37:42,7,12,.583,2,3,.667,4,4,1.000,3,1,4,3,0,0,4,1,20,+6
Kevin Garnett,37:03,6,13,.462,0,0,,3,6,.500,1,7,8,3,0,1,3,5,15,-4
Jermaine O'Neal,17:11,2,5,.400,0,0,,2,3,.667,0,2,2,0,0,2,1,5,6,+5
Sasha Pavlović,15:07,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,4,0,-4
Marquis Daniels,29:48,2,8,.250,0,1,.000,0,0,,1,5,6,5,1,1,0,5,4,-2
Brandon Bass,27:36,9,13,.692,0,0,,2,2,1.000,5,6,11,0,1,0,1,3,20,-1
Chris Wilcox,14:03,2,3,.667,0,0,,0,0,,2,1,3,0,0,1,1,1,4,-4
Keyon Dooling,11:23,0,1,.000,0,0,,4,4,1.000,0,1,1,3,0,0,2,2,4,-4
Avery Bradley,8:49,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-5
E'Twaun Moore,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Tyson Chandler,36:48,1,2,.500,0,0,,5,8,.625,2,1,3,2,0,6,0,2,7,-5
Toney Douglas,35:04,8,19,.421,2,6,.333,1,2,.500,0,2,2,4,3,0,2,4,19,+12
Amar'e Stoudemire,34:42,8,11,.727,2,2,1.000,3,4,.750,0,6,6,2,2,2,1,2,21,-3
Landry Fields,33:52,3,7,.429,1,3,.333,0,0,,1,1,2,3,2,0,2,3,7,-11
Carmelo Anthony,33:35,10,17,.588,4,7,.571,13,15,.867,1,7,8,3,2,1,5,4,37,+15
Iman Shumpert,22:02,3,13,.231,0,1,.000,5,5,1.000,1,3,4,1,0,0,2,2,11,-10
Henry Walker,14:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,3,4,0,-5
Jared Jeffries,12:30,1,3,.333,0,0,,0,0,,1,0,1,0,0,1,0,2,2,+3
Josh Harrellson,9:03,0,0,,0,0,,0,0,,0,2,2,1,0,1,1,0,0,+9
Renaldo Balkman,7:41,1,1,1.000,0,0,,0,0,,2,1,3,1,0,0,0,2,2,+5
LeBron James,36:16,11,19,.579,0,0,,15,19,.789,3,7,10,6,2,2,3,3,37,+27
