MP,FG%,3P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41.16,0.579,0.0,0.75,1.0,4.0,5.0,13.0,5.0,0.0,5.0,2.0,31.0
37.42,0.583,0.667,1.0,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,20.0
37.03,0.462,0.0,0.5,1.0,7.0,8.0,3.0,0.0,1.0,3.0,5.0,15.0
17.11,0.4,0.0,0.667,0.0,2.0,2.0,0.0,0.0,2.0,1.0,5.0,6.0
15.07,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0
29.48,0.25,0.0,0.0,1.0,5.0,6.0,5.0,1.0,1.0,0.0,5.0,4.0
27.36,0.6920000000000001,0.0,1.0,5.0,6.0,11.0,0.0,1.0,0.0,1.0,3.0,20.0
14.03,0.667,0.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0
11.23,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,4.0
8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.48,0.5,0.0,0.625,2.0,1.0,3.0,2.0,0.0,6.0,0.0,2.0,7.0
35.04,0.42100000000000004,0.33299999999999996,0.5,0.0,2.0,2.0,4.0,3.0,0.0,2.0,4.0,19.0
34.42,0.727,1.0,0.75,0.0,6.0,6.0,2.0,2.0,2.0,1.0,2.0,21.0
33.52,0.429,0.33299999999999996,0.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,3.0,7.0
33.35,0.588,0.5710000000000001,0.867,1.0,7.0,8.0,3.0,2.0,1.0,5.0,4.0,37.0
22.02,0.231,0.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,2.0,11.0
14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0
12.3,0.33299999999999996,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0
9.03,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
