3P%,AST,BLK,FG%,FT%,MP,PF,PTS,STL,TOV,TRB
0.0,0.65,0.0,0.579,0.75,0.7185754189944134,0.3333333333333333,0.543859649122807,0.625,0.5,0.16666666666666666
0.667,0.15,0.0,0.583,1.0,0.653282122905028,0.16666666666666666,0.3508771929824561,0.0,0.4,0.13333333333333333
0.0,0.15,0.09090909090909091,0.462,0.5,0.6464734636871509,0.8333333333333334,0.2631578947368421,0.0,0.3,0.26666666666666666
0.0,0.0,0.18181818181818182,0.4,0.667,0.2987081005586592,0.8333333333333334,0.10526315789473684,0.0,0.1,0.06666666666666667
0.0,0.05,0.0,0.0,0.0,0.2630935754189944,0.6666666666666666,0.0,0.0,0.0,0.03333333333333333
0.0,0.25,0.09090909090909091,0.25,0.0,0.5146648044692738,0.8333333333333334,0.07017543859649122,0.125,0.0,0.2
0.0,0.0,0.0,0.6920000000000001,1.0,0.47765363128491617,0.5,0.3508771929824561,0.125,0.1,0.36666666666666664
0.0,0.0,0.09090909090909091,0.667,0.0,0.2449371508379888,0.16666666666666666,0.07017543859649122,0.0,0.1,0.1
0.0,0.15,0.0,0.0,1.0,0.196054469273743,0.3333333333333333,0.07017543859649122,0.0,0.2,0.03333333333333333
0.0,0.0,0.0,0.0,0.0,0.14821927374301677,0.0,0.0,0.0,0.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0006983240223463687,0.0,0.0,0.0,0.0,0.0
0.0,0.1,0.5454545454545454,0.5,0.625,0.6368715083798882,0.3333333333333333,0.12280701754385964,0.0,0.0,0.1
0.33299999999999996,0.2,0.0,0.42100000000000004,0.5,0.611731843575419,0.6666666666666666,0.3333333333333333,0.375,0.2,0.06666666666666667
1.0,0.1,0.18181818181818182,0.727,0.75,0.6009078212290503,0.3333333333333333,0.3684210526315789,0.25,0.1,0.2
0.33299999999999996,0.15,0.0,0.429,0.0,0.5851955307262571,0.5,0.12280701754385964,0.25,0.2,0.06666666666666667
0.5710000000000001,0.15,0.09090909090909091,0.588,0.867,0.5822276536312849,0.6666666666666666,0.6491228070175439,0.25,0.5,0.26666666666666666
0.0,0.05,0.0,0.231,1.0,0.38442737430167595,0.3333333333333333,0.19298245614035087,0.0,0.2,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.25192039106145253,0.6666666666666666,0.0,0.0,0.3,0.0
0.0,0.0,0.09090909090909091,0.33299999999999996,0.0,0.2147346368715084,0.3333333333333333,0.03508771929824561,0.0,0.0,0.03333333333333333
0.0,0.05,0.09090909090909091,0.0,0.0,0.15764664804469272,0.0,0.0,0.0,0.1,0.06666666666666667
0.0,0.05,0.0,1.0,0.0,0.12936452513966482,0.3333333333333333,0.03508771929824561,0.0,0.0,0.1
0.0,0.3,0.18181818181818182,0.579,0.789,0.6312849162011173,0.5,0.6491228070175439,0.25,0.3,0.3333333333333333
0.0,0.3,0.09090909090909091,0.524,0.667,0.6003840782122905,0.6666666666666666,0.45614035087719296,0.125,0.5,0.26666666666666666
0.0,0.0,0.09090909090909091,0.667,0.667,0.44308659217877094,0.16666666666666666,0.10526315789473684,0.0,0.0,0.06666666666666667
0.0,0.2,0.0,1.0,1.0,0.42266061452513964,0.5,0.05263157894736842,0.5,0.2,0.03333333333333333
0.0,0.05,0.09090909090909091,0.222,0.0,0.41183659217877094,0.8333333333333334,0.07017543859649122,0.125,0.2,0.23333333333333334
0.0,0.05,0.09090909090909091,0.5,0.6,0.5614525139664803,0.8333333333333334,0.15789473684210525,0.0,0.3,0.4666666666666667
1.0,0.0,0.0,0.375,0.0,0.4083449720670391,0.5,0.12280701754385964,0.125,0.4,0.06666666666666667
0.6,0.0,0.0,0.5,0.0,0.3187849162011173,0.3333333333333333,0.15789473684210525,0.0,0.2,0.06666666666666667
0.0,0.0,0.0,0.667,0.0,0.1318086592178771,0.0,0.07017543859649122,0.0,0.0,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.07035614525139665,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0,0.0,0.0,0.1,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.3333333333333333,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0,0.0,0.0,0.0,0.03333333333333333
0.0,0.15,0.0,0.6,0.0,0.509427374301676,0.5,0.21052631578947367,0.0,0.3,0.2
0.0,0.15,0.0,0.4,0.9,0.508554469273743,0.6666666666666666,0.3684210526315789,0.0,0.2,0.16666666666666666
0.4,0.15,0.0,0.4,1.0,0.47747905027932963,0.3333333333333333,0.15789473684210525,0.25,0.2,0.0
0.33299999999999996,0.15,0.0,0.33299999999999996,0.0,0.35631983240223464,0.5,0.08771929824561403,0.0,0.2,0.06666666666666667
0.0,0.0,0.0,0.0,0.0,0.23358938547486036,0.6666666666666666,0.0,0.0,0.2,0.1
0.4,0.15,0.0,0.5,0.5,0.4973812849162011,0.3333333333333333,0.40350877192982454,0.25,0.0,0.03333333333333333
0.33299999999999996,0.15,0.0,0.429,1.0,0.4256284916201117,0.0,0.17543859649122806,0.375,0.3,0.0
0.0,0.0,0.0,0.33299999999999996,0.0,0.263268156424581,0.6666666666666666,0.03508771929824561,0.0,0.0,0.13333333333333333
0.0,0.05,0.0,0.0,1.0,0.24912709497206703,0.3333333333333333,0.07017543859649122,0.125,0.1,0.06666666666666667
0.5,0.05,0.0,0.16699999999999998,0.33299999999999996,0.2274790502793296,0.6666666666666666,0.07017543859649122,0.125,0.2,0.13333333333333333
0.0,0.0,0.0,0.0,0.0,0.18348463687150837,0.0,0.0,0.125,0.0,0.03333333333333333
0.0,0.15,0.0,0.0,0.0,0.14420391061452514,0.16666666666666666,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.33299999999999996,1.0,0.07210195530726257,0.0,0.07017543859649122,0.0,0.0,0.0
0.25,0.15,0.09090909090909091,0.368,1.0,0.6656773743016761,0.3333333333333333,0.3684210526315789,0.5,0.0,0.23333333333333334
0.667,0.25,0.09090909090909091,0.6920000000000001,0.0,0.6143505586592178,0.16666666666666666,0.38596491228070173,0.0,0.5,0.03333333333333333
0.0,0.1,0.09090909090909091,0.5379999999999999,0.25,0.5642458100558659,0.5,0.2631578947368421,0.125,0.2,0.2
0.0,0.1,0.0,0.25,0.0,0.4935405027932961,0.8333333333333334,0.10526315789473684,0.375,0.2,0.3
0.0,0.15,0.0,0.375,0.0,0.40258379888268153,0.8333333333333334,0.10526315789473684,0.25,0.0,0.06666666666666667
0.0,0.1,0.0,0.5,0.0,0.4284217877094972,0.5,0.10526315789473684,0.125,0.2,0.1
0.0,0.0,0.0,0.2,1.0,0.3374650837988826,0.0,0.05263157894736842,0.125,0.2,0.26666666666666666
0.0,0.1,0.09090909090909091,0.25,0.5,0.26675977653631283,0.16666666666666666,0.05263157894736842,0.0,0.0,0.1
0.667,0.1,0.0,0.33299999999999996,0.0,0.2166550279329609,0.16666666666666666,0.10526315789473684,0.25,0.1,0.03333333333333333
0.0,0.0,0.0,0.0,0.0,0.1653282122905028,0.0,0.0,0.0,0.0,0.03333333333333333
0.0,0.15,0.2727272727272727,0.429,0.33299999999999996,0.6524092178770949,0.6666666666666666,0.24561403508771928,0.0,0.1,0.26666666666666666
0.0,0.3,0.0,0.478,0.857,0.6152234636871509,0.5,0.49122807017543857,0.25,0.8,0.23333333333333334
0.0,0.1,0.18181818181818182,0.5,0.0,0.6145251396648045,0.5,0.10526315789473684,0.0,0.2,0.26666666666666666
0.0,0.15,0.18181818181818182,0.2,0.0,0.4055516759776536,0.5,0.03508771929824561,0.25,0.3,0.1
0.0,0.1,0.0,0.8,0.0,0.40328212290502796,0.16666666666666666,0.14035087719298245,0.0,0.0,0.03333333333333333
0.33299999999999996,0.1,0.0,0.444,0.667,0.42894553072625696,0.3333333333333333,0.21052631578947367,0.0,0.1,0.1
0.0,0.15,0.0,0.33299999999999996,0.0,0.4277234636871508,0.0,0.07017543859649122,0.25,0.0,0.06666666666666667
0.0,0.05,0.09090909090909091,0.6,0.5,0.39158519553072624,0.6666666666666666,0.12280701754385964,0.0,0.1,0.26666666666666666
0.667,0.0,0.0,0.667,0.0,0.2157821229050279,0.0,0.10526315789473684,0.0,0.1,0.06666666666666667
0.0,0.0,0.18181818181818182,0.33299999999999996,0.375,0.6681215083798883,0.6666666666666666,0.19298245614035087,0.125,0.3,0.5
0.5,0.05,0.0,0.529,1.0,0.5822276536312849,0.6666666666666666,0.43859649122807015,0.25,0.2,0.3333333333333333
0.0,0.3,0.0,0.5379999999999999,1.0,0.5302025139664804,0.6666666666666666,0.3157894736842105,0.0,0.4,0.03333333333333333
0.4,0.2,0.0,0.3,0.0,0.5099511173184358,0.5,0.14035087719298245,0.25,0.2,0.1
0.0,0.1,0.0,0.1,0.0,0.49825418994413406,0.3333333333333333,0.03508771929824561,0.0,0.3,0.1
0.0,0.05,0.0,0.0,1.0,0.39158519553072624,0.16666666666666666,0.14035087719298245,0.0,0.0,0.1
0.0,0.0,0.09090909090909091,0.33299999999999996,0.0,0.3322276536312849,0.6666666666666666,0.10526315789473684,0.125,0.2,0.16666666666666666
0.0,0.2,0.0,0.0,0.0,0.30080307262569833,0.3333333333333333,0.0,0.125,0.1,0.06666666666666667
0.0,0.0,0.0,1.0,1.0,0.15904329608938547,0.0,0.15789473684210525,0.0,0.0,0.0
0.0,0.0,0.09090909090909091,0.33299999999999996,0.0,0.10562150837988826,0.0,0.03508771929824561,0.0,0.1,0.1
0.0,0.0,0.0,0.0,0.0,0.07699022346368715,0.16666666666666666,0.0,0.0,0.0,0.0
0.5,0.3,0.0,0.579,0.545,0.6462988826815643,0.16666666666666666,0.5263157894736842,0.25,0.4,0.16666666666666666
0.5,0.3,0.0,0.353,1.0,0.5942737430167597,0.8333333333333334,0.24561403508771928,0.375,0.7,0.23333333333333334
0.0,0.05,0.09090909090909091,1.0,1.0,0.5153631284916201,0.6666666666666666,0.10526315789473684,0.0,0.1,0.13333333333333333
0.0,0.0,0.18181818181818182,0.0,0.0,0.4027583798882682,0.5,0.0,0.125,0.1,0.2
1.0,0.0,0.0,0.6,0.0,0.3585893854748603,0.16666666666666666,0.14035087719298245,0.0,0.0,0.1
0.25,0.15,0.0,0.364,0.833,0.5588337988826815,0.5,0.3333333333333333,0.0,0.0,0.2
0.0,0.05,0.0,0.667,0.0,0.37517458100558654,0.3333333333333333,0.07017543859649122,0.125,0.2,0.06666666666666667
0.0,0.0,0.18181818181818182,0.25,0.0,0.28229748603351956,0.3333333333333333,0.03508771929824561,0.0,0.0,0.23333333333333334
0.667,0.15,0.0,0.6,0.0,0.236731843575419,0.16666666666666666,0.14035087719298245,0.0,0.1,0.06666666666666667
0.5,0.05,0.0,0.4,0.0,0.18470670391061453,0.0,0.10526315789473684,0.125,0.0,0.03333333333333333
0.3,0.2,0.0,0.316,1.0,0.6667248603351955,0.3333333333333333,0.3684210526315789,0.0,0.1,0.16666666666666666
0.33299999999999996,0.45,0.0,0.583,0.833,0.635300279329609,0.6666666666666666,0.3508771929824561,0.25,0.2,0.06666666666666667
0.33299999999999996,0.2,0.0,0.4,0.667,0.6286662011173184,0.0,0.19298245614035087,0.375,0.0,0.3333333333333333
0.0,0.05,0.0,0.5,0.5,0.6012569832402234,0.6666666666666666,0.38596491228070173,0.25,0.3,0.23333333333333334
0.0,0.0,0.7272727272727273,0.5,0.33299999999999996,0.5291550279329609,0.3333333333333333,0.10526315789473684,0.0,0.2,0.16666666666666666
0.0,0.15,0.0,0.5,0.0,0.3861731843575419,0.16666666666666666,0.14035087719298245,0.25,0.1,0.1
0.5,0.0,0.0,0.28600000000000003,1.0,0.2697276536312849,0.8333333333333334,0.14035087719298245,0.0,0.0,0.2
0.0,0.0,0.0,0.75,0.0,0.24895251396648044,0.16666666666666666,0.10526315789473684,0.0,0.0,0.13333333333333333
1.0,0.05,0.0,1.0,0.0,0.196054469273743,0.0,0.05263157894736842,0.0,0.1,0.03333333333333333
0.0,0.4,0.0,0.316,0.5,0.740572625698324,0.6666666666666666,0.2631578947368421,0.125,0.4,0.13333333333333333
0.0,0.1,0.09090909090909091,0.526,0.5,0.6133030726256984,1.0,0.3684210526315789,0.0,0.4,0.4
0.0,0.2,0.18181818181818182,0.16699999999999998,0.0,0.5810055865921788,0.6666666666666666,0.07017543859649122,0.25,0.5,0.16666666666666666
0.16699999999999998,0.05,0.0,0.16699999999999998,1.0,0.5324720670391061,0.16666666666666666,0.14035087719298245,0.0,0.0,0.3
0.0,0.0,0.2727272727272727,1.0,0.0,0.3538756983240223,0.6666666666666666,0.17543859649122806,0.0,0.0,0.26666666666666666
1.0,0.0,0.18181818181818182,0.5,1.0,0.4928421787709497,0.6666666666666666,0.21052631578947367,0.125,0.1,0.1
0.33299999999999996,0.05,0.0,0.25,1.0,0.33170391061452514,0.5,0.12280701754385964,0.0,0.2,0.1
0.0,0.0,0.0,0.0,0.5,0.21944832402234637,0.16666666666666666,0.017543859649122806,0.0,0.0,0.1
0.0,0.0,0.0,0.0,0.5,0.11330307262569833,0.5,0.017543859649122806,0.0,0.0,0.03333333333333333
1.0,0.0,0.0,0.75,0.0,0.09113128491620111,0.3333333333333333,0.12280701754385964,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.057437150837988823,0.0,0.0,0.0,0.0,0.0
0.0,0.05,0.0,0.0,0.0,0.010125698324022346,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.003840782122905028,0.0,0.0,0.0,0.0,0.0
0.0,0.15,0.2727272727272727,0.7140000000000001,0.75,0.5644203910614525,0.6666666666666666,0.22807017543859648,0.125,0.3,0.43333333333333335
0.6,0.55,0.0,0.556,1.0,0.5281075418994413,0.3333333333333333,0.2631578947368421,0.0,0.1,0.2
0.25,0.1,0.0,0.41700000000000004,1.0,0.5247905027932961,0.3333333333333333,0.22807017543859648,0.0,0.0,0.2
0.0,0.1,0.0,0.5379999999999999,0.5,0.44535614525139666,0.0,0.2631578947368421,0.125,0.0,0.06666666666666667
0.25,0.1,0.0,0.25,0.0,0.20146648044692736,0.5,0.05263157894736842,0.0,0.0,0.03333333333333333
1.0,0.25,0.2727272727272727,0.5,0.0,0.6295391061452514,0.16666666666666666,0.08771929824561403,0.25,0.4,0.2
0.33299999999999996,0.2,0.0,0.35700000000000004,1.0,0.3856494413407821,0.6666666666666666,0.24561403508771928,0.0,0.2,0.0
0.0,0.1,0.18181818181818182,1.0,0.0,0.3062150837988827,0.5,0.24561403508771928,0.0,0.0,0.23333333333333334
