"","AST","BLK","MP","PF","PTS","STL","TOV","TRB","TPP","FGP","FTP"
"5",0.05,0,0.263093575418994,0.666666666666667,0,0,0,0.0333333333333333,0,0,0
"7",0,0,0.477653631284916,0.5,0.350877192982456,0.125,0.1,0.366666666666667,0,0.692,1
"9",0.15,0,0.196054469273743,0.333333333333333,0.0701754385964912,0,0.2,0.0333333333333333,0,0,1
"13",0.2,0,0.611731843575419,0.666666666666667,0.333333333333333,0.375,0.2,0.0666666666666667,0.333,0.421,0.5
"14",0.1,0.181818181818182,0.60090782122905,0.333333333333333,0.368421052631579,0.25,0.1,0.2,1,0.727,0.75
"16",0.15,0.0909090909090909,0.582227653631285,0.666666666666667,0.649122807017544,0.25,0.5,0.266666666666667,0.571,0.588,0.867
"17",0.05,0,0.384427374301676,0.333333333333333,0.192982456140351,0,0.2,0.133333333333333,0,0.231,1
"18",0,0,0.251920391061453,0.666666666666667,0,0,0.3,0,0,0,0
"19",0,0.0909090909090909,0.214734636871508,0.333333333333333,0.0350877192982456,0,0,0.0333333333333333,0,0.333,0
"22",0.3,0.181818181818182,0.631284916201117,0.5,0.649122807017544,0.25,0.3,0.333333333333333,0,0.579,0.789
"23",0.3,0.0909090909090909,0.60038407821229,0.666666666666667,0.456140350877193,0.125,0.5,0.266666666666667,0,0.524,0.667
"24",0,0.0909090909090909,0.443086592178771,0.166666666666667,0.105263157894737,0,0,0.0666666666666667,0,0.667,0.667
"26",0.05,0.0909090909090909,0.411836592178771,0.833333333333333,0.0701754385964912,0.125,0.2,0.233333333333333,0,0.222,0
"27",0.05,0.0909090909090909,0.56145251396648,0.833333333333333,0.157894736842105,0,0.3,0.466666666666667,0,0.5,0.6
"28",0,0,0.408344972067039,0.5,0.12280701754386,0.125,0.4,0.0666666666666667,1,0.375,0
"30",0,0,0.131808659217877,0,0.0701754385964912,0,0,0.0666666666666667,0,0.667,0
"32",0,0,0.0446927374301676,0,0,0,0.1,0.0666666666666667,0,0,0
"34",0,0,0.0446927374301676,0,0,0,0,0.0333333333333333,0,0,0
"35",0.15,0,0.509427374301676,0.5,0.210526315789474,0,0.3,0.2,0,0.6,0
"36",0.15,0,0.508554469273743,0.666666666666667,0.368421052631579,0,0.2,0.166666666666667,0,0.4,0.9
"38",0.15,0,0.356319832402235,0.5,0.087719298245614,0,0.2,0.0666666666666667,0.333,0.333,0
"39",0,0,0.23358938547486,0.666666666666667,0,0,0.2,0.1,0,0,0
"40",0.15,0,0.497381284916201,0.333333333333333,0.403508771929825,0.25,0,0.0333333333333333,0.4,0.5,0.5
"41",0.15,0,0.425628491620112,0,0.175438596491228,0.375,0.3,0,0.333,0.429,1
"42",0,0,0.263268156424581,0.666666666666667,0.0350877192982456,0,0,0.133333333333333,0,0.333,0
"43",0.05,0,0.249127094972067,0.333333333333333,0.0701754385964912,0.125,0.1,0.0666666666666667,0,0,1
"44",0.05,0,0.22747905027933,0.666666666666667,0.0701754385964912,0.125,0.2,0.133333333333333,0.5,0.167,0.333
"45",0,0,0.183484636871508,0,0,0.125,0,0.0333333333333333,0,0,0
"48",0.15,0.0909090909090909,0.665677374301676,0.333333333333333,0.368421052631579,0.5,0,0.233333333333333,0.25,0.368,1
"51",0.1,0,0.493540502793296,0.833333333333333,0.105263157894737,0.375,0.2,0.3,0,0.25,0
"52",0.15,0,0.402583798882682,0.833333333333333,0.105263157894737,0.25,0,0.0666666666666667,0,0.375,0
"53",0.1,0,0.428421787709497,0.5,0.105263157894737,0.125,0.2,0.1,0,0.5,0
"54",0,0,0.337465083798883,0,0.0526315789473684,0.125,0.2,0.266666666666667,0,0.2,1
"55",0.1,0.0909090909090909,0.266759776536313,0.166666666666667,0.0526315789473684,0,0,0.1,0,0.25,0.5
"56",0.1,0,0.216655027932961,0.166666666666667,0.105263157894737,0.25,0.1,0.0333333333333333,0.667,0.333,0
"57",0,0,0.165328212290503,0,0,0,0,0.0333333333333333,0,0,0
"58",0.15,0.272727272727273,0.652409217877095,0.666666666666667,0.245614035087719,0,0.1,0.266666666666667,0,0.429,0.333
"60",0.1,0.181818181818182,0.614525139664804,0.5,0.105263157894737,0,0.2,0.266666666666667,0,0.5,0
"63",0.1,0,0.428945530726257,0.333333333333333,0.210526315789474,0,0.1,0.1,0.333,0.444,0.667
"64",0.15,0,0.427723463687151,0,0.0701754385964912,0.25,0,0.0666666666666667,0,0.333,0
"65",0.05,0.0909090909090909,0.391585195530726,0.666666666666667,0.12280701754386,0,0.1,0.266666666666667,0,0.6,0.5
"67",0,0.181818181818182,0.668121508379888,0.666666666666667,0.192982456140351,0.125,0.3,0.5,0,0.333,0.375
"68",0.05,0,0.582227653631285,0.666666666666667,0.43859649122807,0.25,0.2,0.333333333333333,0.5,0.529,1
"69",0.3,0,0.53020251396648,0.666666666666667,0.315789473684211,0,0.4,0.0333333333333333,0,0.538,1
"71",0.1,0,0.498254189944134,0.333333333333333,0.0350877192982456,0,0.3,0.1,0,0.1,0
"72",0.05,0,0.391585195530726,0.166666666666667,0.140350877192982,0,0,0.1,0,0,1
"73",0,0.0909090909090909,0.332227653631285,0.666666666666667,0.105263157894737,0.125,0.2,0.166666666666667,0,0.333,0
"74",0.2,0,0.300803072625698,0.333333333333333,0,0.125,0.1,0.0666666666666667,0,0,0
"75",0,0,0.159043296089385,0,0.157894736842105,0,0,0,0,1,1
"76",0,0.0909090909090909,0.105621508379888,0,0.0350877192982456,0,0.1,0.1,0,0.333,0
"77",0,0,0.0769902234636872,0.166666666666667,0,0,0,0,0,0,0
"78",0.3,0,0.646298882681564,0.166666666666667,0.526315789473684,0.25,0.4,0.166666666666667,0.5,0.579,0.545
"79",0.3,0,0.59427374301676,0.833333333333333,0.245614035087719,0.375,0.7,0.233333333333333,0.5,0.353,1
"80",0.05,0.0909090909090909,0.51536312849162,0.666666666666667,0.105263157894737,0,0.1,0.133333333333333,0,1,1
"81",0,0.181818181818182,0.402758379888268,0.5,0,0.125,0.1,0.2,0,0,0
"82",0,0,0.35858938547486,0.166666666666667,0.140350877192982,0,0,0.1,1,0.6,0
"83",0.15,0,0.558833798882681,0.5,0.333333333333333,0,0,0.2,0.25,0.364,0.833
"85",0,0.181818181818182,0.28229748603352,0.333333333333333,0.0350877192982456,0,0,0.233333333333333,0,0.25,0
"87",0.05,0,0.184706703910615,0,0.105263157894737,0.125,0,0.0333333333333333,0.5,0.4,0
"88",0.2,0,0.666724860335196,0.333333333333333,0.368421052631579,0,0.1,0.166666666666667,0.3,0.316,1
"91",0.05,0,0.601256983240223,0.666666666666667,0.385964912280702,0.25,0.3,0.233333333333333,0,0.5,0.5
"93",0.15,0,0.386173184357542,0.166666666666667,0.140350877192982,0.25,0.1,0.1,0,0.5,0
